Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Estonia,Europe,585143,44029.614,3177,239.056,0,2608,196.241,9,0.677,0
Cyprus,Europe,530510,59741.781,14914,1679.495,0,1079,121.508,4,0.45,0
Venezuela (Bolivarian Republic of),Americas,528566,1858.796,1325,4.66,137,5741,20.189,6,0.021,0
Republic of Moldova,Europe,523034,12965.761,1852,45.91,0,11584,287.162,14,0.347,0
Egypt,Eastern Mediterranean,514182,502.453,49,0.048,0,24725,24.161,1,0.001,0
Libya,Eastern Mediterranean,502289,7309.964,100,1.455,0,6430,93.578,0,0,0
Ethiopia,Africa,490557,426.706,711,0.618,0,7552,6.569,4,0.003,0
Honduras,Americas,430672,4348.199,1946,19.647,0,10912,110.171,1,0.01,0
Réunion,Africa,425638,47540.746,0,0,0,819,91.476,0,0,0
Armenia,Europe,423771,14300.963,354,11.946,0,8626,291.101,0,0,0
Oman,Eastern Mediterranean,391641,7669.271,0,0,0,4628,90.627,0,0,0
Qatar,Eastern Mediterranean,390918,13568.581,4390,152.375,863,680,23.602,1,0.035,0
Bosnia and Herzegovina,Europe,380211,11588.919,967,29.474,229,15812,481.953,4,0.122,2
Kenya,Africa,336053,624.967,961,1.787,0,5668,10.541,9,0.017,0
Zambia,Africa,327102,1779.28,802,4.362,0,4008,21.802,0,0,0
Botswana,Africa,323327,13749.077,0,0,0,2752,117.025,0,0,0
North Macedonia,Europe,317140,15222.379,2093,100.462,411,9337,448.166,5,0.24,0
Albania,Europe,290954,10110.293,6196,215.303,1563,3517,122.211,9,0.313,1
Luxembourg,Europe,274677,43870.546,5591,892.977,1276,1102,176.008,6,0.958,2
Algeria,Africa,266303,607.29,122,0.278,0,6875,15.678,0,0,0
Nigeria,Africa,258874,125.582,1237,0.6,0,3144,1.525,0,0,0
Zimbabwe,Africa,255981,1722.279,226,1.521,0,5565,37.442,7,0.047,0
Montenegro,Europe,244897,38992.488,3046,484.984,566,2730,434.67,1,0.159,1
Uzbekistan,Europe,241953,722.912,576,1.721,71,1637,4.891,0,0,0
Mauritius,Africa,233082,18327.399,0,0,0,1007,79.181,0,0,0
Kosovo[1],Europe,232747,12961.598,2395,133.377,763,3136,174.643,6,0.334,1
Mozambique,Africa,228769,731.934,365,1.168,0,2214,7.084,1,0.003,0
Lao People's Democratic Republic,Western Pacific,210401,2891.887,70,0.962,15,757,10.405,0,0,0
Martinique,Americas,205261,54697.614,4050,1079.237,0,981,261.415,10,2.665,0
Kyrgyzstan,Europe,201329,3085.885,228,3.495,47,2991,45.845,0,0,0
Iceland,Europe,198721,54573.591,1807,496.246,0,179,49.158,0,0,0
Maldives,South-East Asia,183491,33945.618,771,142.634,0,307,56.795,1,0.185,0
Afghanistan,Eastern Mediterranean,183285,470.827,306,0.786,13,7728,19.852,3,0.008,0
Brunei Darussalam,Western Pacific,181256,41431.932,10229,2338.169,1497,178,40.688,10,2.286,4
El Salvador,Americas,180970,2790.075,11324,174.586,0,4164,64.198,12,0.185,0
Guadeloupe,Americas,175348,43823.415,3917,978.947,0,958,239.426,1,0.25,0
Trinidad and Tobago,Americas,168427,12034.901,769,54.949,105,4031,288.034,13,0.929,3
Uganda,Africa,167408,365.991,225,0.492,0,3626,7.927,5,0.011,0
Ghana,Africa,167215,538.137,399,1.284,0,1456,4.686,3,0.01,0
Namibia,Africa,166224,6541.921,0,0,0,4068,160.1,2,0.079,0
Jamaica,Americas,144213,4870.141,737,24.889,75,3161,106.748,14,0.473,3
Cambodia,Western Pacific,136390,815.78,82,0.49,16,3056,18.279,0,0,0
Rwanda,Africa,131729,1017.038,271,2.092,0,1461,11.28,0,0,0
Cameroon,Africa,120068,452.304,0,0,0,1931,7.274,0,0,0
Malta,Europe,109911,21360.025,3229,627.522,418,766,148.864,14,2.721,3
Angola,Africa,101600,309.132,0,0,0,1900,5.781,0,0,0
Democratic Republic of the Congo,Africa,91737,102.429,0,0,0,1376,1.536,0,0,0
French Guiana,Americas,89779,30058.39,1417,474.418,0,402,134.591,1,0.335,0
Malawi,Africa,86750,453.477,105,0.549,0,2649,13.847,3,0.016,0
Senegal,Africa,86541,516.85,130,0.776,0,1968,11.754,0,0,0
Barbados,Americas,86451,30082.993,1120,389.735,0,478,166.333,1,0.348,0
Côte d’Ivoire,Africa,84165,319.069,342,1.297,0,806,3.056,1,0.004,0
Suriname,Americas,80919,13793.826,29,4.943,29,1377,234.73,1,0.17,1
French Polynesia,Western Pacific,73858,26292.594,284,101.101,0,649,231.036,0,0,0
Eswatini,Africa,73227,6311.78,50,4.31,0,1417,122.138,1,0.086,0
Guyana,Americas,68409,8697.327,710,90.267,184,1263,160.574,7,0.89,1
New Caledonia,Western Pacific,66732,23373.894,1325,464.101,0,314,109.983,1,0.35,0
Fiji,Western Pacific,66405,7407.593,289,32.238,0,869,96.938,3,0.335,0
Madagascar,Africa,66098,238.698,311,1.123,0,1403,5.067,2,0.007,0
Belize,Americas,65508,16474.695,927,233.132,560,680,171.014,0,0,0
Sudan,Eastern Mediterranean,62795,143.207,9,0.021,0,4955,11.3,0,0,0
Cabo Verde,Africa,61669,11091.806,258,46.404,0,409,73.563,2,0.36,0
Mauritania,Africa,61183,1315.86,498,10.71,0,986,21.206,2,0.043,0
Bhutan,South-East Asia,59940,7768.193,74,9.59,0,21,2.722,0,0,0
Syrian Arab Republic,Eastern Mediterranean,55960,319.759,20,0.114,5,3150,17.999,0,0,0
Jersey,Europe,55473,51461.093,223,206.872,0,131,121.526,0,0,0
Gabon,Africa,48157,2163.646,0,0,0,305,13.703,0,0,0
Seychelles,Africa,45185,45944.462,160,162.689,0,167,169.807,0,0,0
Curaçao,Americas,44782,27290.622,120,73.129,0,280,170.635,2,1.219,0
Papua New Guinea,Western Pacific,44758,500.256,19,0.212,6,662,7.399,0,0,0
Guam,Western Pacific,44742,26509.85,772,457.414,410,373,221.004,2,1.185,0
Andorra,Europe,44671,57815.311,0,0,0,153,198.02,0,0,0
Burundi,Africa,43060,362.129,185,1.556,0,15,0.126,0,0,0
Aruba,Americas,41445,38818.538,445,416.799,0,224,209.805,2,1.873,0
Mayotte,Africa,38139,13979.803,0,0,0,187,68.545,0,0,0
Togo,Africa,37636,454.611,96,1.16,0,275,3.322,0,0,0
United Republic of Tanzania,Africa,37510,62.795,1336,2.237,0,841,1.408,0,0,0
Guinea,Africa,37351,284.41,0,0,0,445,3.388,0,0,0
Isle of Man,Europe,37239,43794.101,241,283.423,0,110,129.363,0,0,0
Bahamas,Americas,36299,9230.656,166,42.213,0,822,209.031,1,0.254,0
Faroe Islands,Europe,34658,70926.021,0,0,0,28,57.301,0,0,0
Lesotho,Africa,34040,1588.984,0,0,0,702,32.769,0,0,0
Haiti,Americas,31980,280.464,49,0.43,0,837,7.34,0,0,0
Mali,Africa,31192,154.028,11,0.054,0,737,3.639,0,0,0
Guernsey,Europe,29045,45053.36,947,1468.946,0,50,77.558,1,1.551,0
Cayman Islands,Americas,27966,42553.256,372,566.038,0,29,44.127,0,0,0
Saint Lucia,Americas,27337,14887.244,204,111.095,0,385,209.664,0,0,0
Benin,Africa,27216,224.495,0,0,0,163,1.345,0,0,0
Somalia,Eastern Mediterranean,26900,169.255,97,0.61,0,1361,8.563,0,0,0
Congo,Africa,24421,442.563,0,0,0,386,6.995,0,0,0
Timor-Leste,South-East Asia,22975,1742.583,10,0.758,1,133,10.088,0,0,0
Solomon Islands,Western Pacific,21544,3136.483,0,0,0,153,22.275,0,0,0
United States Virgin Islands,Americas,21231,20331.338,209,200.144,56,120,114.915,2,1.915,1
Burkina Faso,Africa,21044,100.673,0,0,0,387,1.851,0,0,0
Gibraltar,Europe,19796,58757.532,163,483.809,0,105,311.656,1,2.968,0
San Marino,Europe,18977,55916.672,423,1246.39,0,116,341.8,0,0,0
Grenada,Americas,18592,16522.844,117,103.979,0,233,207.069,1,0.889,0
Liechtenstein,Europe,18213,47004.929,149,384.546,0,84,216.791,0,0,0
Tajikistan,Europe,17786,186.482,0,0,0,125,1.311,0,0,0
South Sudan,Africa,17733,158.419,0,0,0,138,1.233,0,0,0
Equatorial Guinea,Africa,16504,1176.349,313,22.31,0,183,13.044,0,0,0
Bermuda,Americas,16401,26337.257,239,383.794,0,140,224.817,0,0,0
Djibouti,Eastern Mediterranean,15690,1588.057,0,0,0,189,19.13,0,0,0
Samoa,Western Pacific,15134,7627.486,82,41.328,0,29,14.616,0,0,0
Dominica,Americas,14852,20630.357,0,0,0,68,94.456,0,0,0
Nicaragua,Americas,14751,222.672,30,0.453,0,244,3.683,1,0.015,0
Central African Republic,Africa,14712,304.611,0,0,0,113,2.34,0,0,0
Monaco,Europe,13696,34899.602,393,1001.427,51,60,152.89,1,2.548,0
Tonga,Western Pacific,12382,11714.84,0,0,0,12,11.353,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,12193,21184.217,434,754.035,434,35,60.809,0,0,0
Gambia,Africa,12009,496.924,0,0,0,365,15.103,0,0,0
Greenland,Europe,11971,21086.099,0,0,0,21,36.99,0,0,0
Yemen,Eastern Mediterranean,11832,39.67,0,0,0,2149,7.205,0,0,0
Vanuatu,Western Pacific,11700,3809.276,230,74.883,3,14,4.558,0,0,0
Saint Martin,Americas,11224,29033.343,163,421.635,0,46,118.989,0,0,0
Sint Maarten,Americas,10601,24721.328,0,0,0,87,202.882,0,0,0
Eritrea,Africa,9827,277.096,16,0.451,0,103,2.904,0,0,0
Saint Vincent and the Grenadines,Americas,9183,8277.447,107,96.449,21,114,102.758,0,0,0
Niger,Africa,9096,37.576,2,0.008,0,311,1.285,0,0,0
Bonaire,Americas,8868,42400.191,58,277.313,0,30,143.438,0,0,0
Antigua and Barbuda,Americas,8686,8869.691,18,18.381,0,143,146.024,2,2.042,0
Guinea-Bissau,Africa,8400,426.829,4,0.203,0,171,8.689,0,0,0
Comoros,Africa,8209,943.996,0,0,0,160,18.399,0,0,0
Sierra Leone,Africa,7718,96.753,11,0.138,0,125,1.567,0,0,0
Liberia,Africa,7504,148.368,2,0.04,0,294,5.813,0,0,0
Chad,Africa,7427,45.215,1,0.006,0,193,1.175,0,0,0
Nauru,Western Pacific,7335,67703.526,2314,21358.686,0,1,9.23,0,0,0
British Virgin Islands,Americas,7131,23583.689,190,628.369,190,63,208.354,0,0,0
American Samoa,Western Pacific,6505,11785.061,0,0,0,31,56.162,0,0,0
Saint Kitts and Nevis,Americas,6345,11928.485,117,219.958,13,45,84.599,2,3.76,0
Turks and Caicos Islands,Americas,6234,16101.038,0,0,0,36,92.98,0,0,0
Sao Tome and Principe,Africa,6064,2766.941,0,0,0,74,33.765,0,0,0
Cook Islands,Western Pacific,5814,33101.799,20,113.869,0,1,5.693,0,0,0
Palau,Western Pacific,5308,29338.934,39,215.565,0,6,33.164,0,0,0
Saint Barthélemy,Americas,4845,49013.657,105,1062.215,0,5,50.582,0,0,0
Anguilla,Americas,3496,23303.56,20,133.316,0,9,59.992,0,0,0
Kiribati,Western Pacific,3236,2709.106,0,0,0,13,10.883,0,0,0
Saint Pierre and Miquelon,Americas,2970,51251.079,191,3295.945,113,1,17.256,0,0,0
Falkland Islands (Malvinas),Americas,1831,52569.624,8,229.687,0,0,0,0,0,0
Sint Eustatius,Americas,1048,33386.429,57,1815.865,0,5,159.286,0,0,0
Montserrat,Americas,1025,20504.101,3,60.012,2,8,160.032,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Saba,Americas,639,33057.424,8,413.864,0,2,103.466,0,0,0
Wallis and Futuna,Western Pacific,456,4054.775,0,0,0,7,62.244,0,0,0
Marshall Islands,Western Pacific,49,82.779,17,28.719,2,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,38,33.037,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Niue,Western Pacific,26,1606.922,3,185.414,0,0,0,0,0,0
Tuvalu,Western Pacific,3,25.441,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
